ประทับเวลา,ชื่อเล่น (nickname),27/01/25 Monday,28/01/25 Tuesday,29/01/25 Wednesday,30/01/25 Thursday,31/01/25 Friday
"25/1/2025, 9:52:21",Member 6,,"13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00",,"13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00","15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00"
"25/1/2025, 10:03:24",Member 9,"16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00"
"25/1/2025, 18:35:37",Member 7,"12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","15.00-15.30, 15.30-16.00, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","9.00-9.30, 9.30-10.00, 10.00-10.30, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00"
"25/1/2025, 21:14:28",Member 8,"9.30-10.00, 10.00-10.30, 10.30-11.00, 11.00-11.30, 11.30-12.00, 12.00-12.30, 12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","9.30-10.00, 10.00-10.30, 10.30-11.00, 11.00-11.30, 11.30-12.00, 12.00-12.30, 12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","12.00-12.30, 12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 19.00-19.30, 19.30-20.00","9.00-9.30, 9.30-10.00, 10.00-10.30, 10.30-11.00, 12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.30-20.00","12.00-12.30, 12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00"
"25/1/2025, 22:10:01",Member 5,"13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30","17.00-17.30, 17.30-18.00","15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00",,
"25/1/2025, 22:15:27",Member 14,"18.00-18.30, 18.30-19.00","16.00-16.30, 16.30-17.00, 17.00-17.30",18.00-18.30,,
"26/1/2025, 0:40:35",Member 16,,"16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00",
"26/1/2025, 0:45:12",Member 11,,"16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30","16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30",,"16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30"
"26/1/2025, 0:45:12",Member 3,,"16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30","16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30",,"16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30"
"26/1/2025, 9:36:44",Member 17,"13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00",,,"16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00",
"26/1/2025, 10:10:39",Member 18,"15.00-15.30, 15.30-16.00, 18.00-18.30, 18.30-19.00","15.00-15.30, 15.30-16.00, 18.00-18.30, 18.30-19.00",,"16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00",
"26/1/2025, 12:03:27",Member 4,"16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00"
"26/1/2025, 12:46:13",Member 15,"16.00-16.30, 16.30-17.00, 17.00-17.30","15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00","13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00","13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00","13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00"
"26/1/2025, 13:03:41",Member 1,"9.00-9.30, 9.30-10.00, 10.00-10.30, 10.30-11.00, 11.00-11.30, 11.30-12.00, 12.00-12.30, 19.00-19.30, 19.30-20.00","9.00-9.30, 9.30-10.00, 10.00-10.30, 10.30-11.00, 11.00-11.30, 11.30-12.00, 12.00-12.30, 12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","9.00-9.30, 9.30-10.00, 10.00-10.30, 10.30-11.00, 11.00-11.30, 11.30-12.00, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","9.00-9.30, 9.30-10.00, 10.00-10.30, 10.30-11.00, 11.00-11.30, 11.30-12.00, 12.00-12.30, 12.30-13.00, 13.00-13.30, 13.30-14.00, 14.00-14.30, 14.30-15.00, 15.00-15.30, 15.30-16.00","9.00-9.30, 9.30-10.00, 10.00-10.30, 10.30-11.00, 11.00-11.30, 11.30-12.00, 16.00-16.30, 16.30-17.00, 17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00"
"26/1/2025, 14:53:34",Member 19,,"17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00",,
"26/1/2025, 15:32:57",member 10,"17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00","17.00-17.30, 17.30-18.00, 18.00-18.30, 18.30-19.00, 19.00-19.30, 19.30-20.00"
